S.No,CLIENT,START_DATE,END_DATE,ROLE,TYPE,LOCATION
1,OnJava.com,3/2003,3/2003,Author,Contract,"Sebastopol, CA"
2,Gamelan.com,12/2002,3/2003,Author,Contract,"Darien, CT"
3,ChoicePoint,8/2002,5/2003,Consultant,Contract,"Atlanta, GA"
4,"PolyGlot, Inc.",4/2002,8/2002,Consultant,Contract,"Atlanta, GA"
5,Grassroots Girls,11/2001,6/2002,Consultant,Contract,"Atlanta, GA"
6,MediaBin,2/2001,10/2001,Consultant,Contract,"Atlanta, GA"
7,JavaPro Magazine,10/2000,2/2001,Author,Contract,"Atlanta, GA"
8,Matrix.net,3/2000,1/2001,Tech Asst to Chairman,Employee,"Austin, TX"
9,Nuforia,6/1999,3/2000,Lead Developer,Employee,"Houston, TX"
10,"QWIZ, Inc.",4/1999,6/1999,Consultant,Contract,"Atlanta, GA"
11,fabric.com,3/1998,4/1999,Chief Technical Officer,Employee,"Marietta, GA"
12,PolyGrafX,11/1997,1/1998,Consultant,Contract,"Chattanooga, TN"
13,Javasoft (Sun),7/1997,2/1998,Consultant,Contract-W2,"Cupertino, CA"
14,MIDS,9/1996,3/1998,Consultant,Contract,"Austin, TX"
15,Coca-Cola,6/1996,5/1997,Consultant,Contract-W2,"Atlanta, GA"
16,IRI Logistics,3/1996,6/1996,Consultant,Contract,"Atlanta, GA"
17,BellSouth Wireless,5/1995,2/1996,Consultant,Contract,"Atlanta, GA"
18,BellSouth Cellular,4/1994,4/1995,Consultant,Contract-W2,"Atlanta, GA"
19,Digital Enterprises,4/1994,6/1994,Consultant,Contract,"Atlanta, GA"
20,Georgia Power,6/1993,11/1994,Consultant,Contract-W2,"Atlanta, GA"
21,Coca-Cola,2/1993,3/1994,Consultant,Contract-W2,"Atlanta, GA"
22,Raytheon,1/1993,2/1993,Consultant,Contract,"Marlborough, MA"
23,BenefitWare,11/1992,2/1993,Consultant,Contract,"Stone Mtn, GA"
24,Federal Express,10/1992,12/1993,Consultant,Contract-W2,"Memphis, TN"
25,V.I. Corporation,1/1992,10/1992,Consultant,Contract,"Northampton, MA"
26,Lockheed Missles & Space,11/1991,12/1991,Consultant,Contract,"Sunnyvale, CA"
27,Chevron Oil,7/1991,11/1991,Consultant,Contract,"Richmond, CA"
28,Orbital Engine Co.,11/1989,5/1991,Consultant,Contract,"Perth, West Australia"
29,Pillar Corporation,7/1989,10/1989,Consultant,Contract,"Foster City, CA"
30,Operations Control Systems,4/1989,9/1989,Consultant,Contract,"Palo Alto, CA"
31,Stanley-Vidmar,1/1989,3/1989,Consultant,Contract,"Cincinnati, OH"
32,"MasterPlan, Inc.",11/1988,1/1989,Consultant,Contract,"Foster City, CA"
33,Ruocco & Saucedo,4/1988,6/1988,Consultant,Contract,"San Jose, CA"
34,Cameo Systems,3/1988,12/1988,Consultant,Contract,"Santa Clara, CA"
35,Schlage Electronics,1/1988,3/1988,Consultant,Contract,"Palo Alto, CA"
36,Verilink,7/1987,2/1988,Consultant,Contract,"San Jose, CA"
37,BAM,3/1987,6/1987,Product Manager,Employee,"Sydney, Australia"
38,Australian Associated Press,11/1986,4/1987,Network Transport System Manager,Employee,"Sydney, Australia"
39,"Hoge, Fenton, Jones, & Appel",10/1986,10/1986,Consultant,Contract,"San Jose, CA"
40,FMC,3/1986,9/1986,Consultant,Contract,"San Jose, CA"
41,Northeastern University,7/1985,9/1986,Lecturer,Employee,"Sunnyvale, CA"
42,Hewlett Packard,3/1985,2/1986,Consultant,Contract,"Cupertino, CA"
43,Othello Championship,1/1985,2/1986,Entrant/Developer,Volunteer,"Northridge, CA"
44,Formaster,5/1984,9/1984,Consultant,Contract,"Santa Clara, CA"
45,"Applicon, Inc",3/1984,2/1985,Consultant,Contract,"Santa Clara, CA"
46,Bullwinkles Pizza,2/1983,4/1983,Consultant,Contract,"Cupertino, CA"
47,Management Blueprint Software,1/1983,2/1984,Chief Scientist/Product Manager,Contract,"Los Gatos, CA"
48,Pizza Time Theatre,9/1982,11/1982,Consultant,Contract,"Sunnyvale, CA"
49,CGW & Associates,8/1982,11/1982,Consultant,Contract,"Mtn View, CA"
50,National Info Systems,4/1982,6/1982,Consultant,Contract,"Cupertino, CA"
51,Management Blueprint Software,3/1982,1/1983,Consultant,Contract,"Los Gatos, CA"
