S.No,CITY,FROM LONDON (Km),FROM LONDON (Mi)
1,Birmingham,162,100.7
2,Liverpool,286,177.7
3,Nottingham,175,108.7
4,Sheffield,227,141.1
5,Bristol,171,106.3
6,Glasgow,555,344.9
7,Leicester,143,88.9
8,Edinburgh,533,331.2
9,Leeds,272,169.0
10,Cardiff,211,131.1
11,Manchester,261,162.2
12,Stoke-on-Trent,217,134.8
13,Coventry,138,85.7
14,Sunderland,386,239.8
15,Birkenhead,286,177.7
16,Islington,3,1.9
17,Reading,59,36.7
18,Kingston upon Hull,249,154.7
19,Preston,305,189.5
20,Newport,199,123.7
